"LOCATION_OFFICE","COMPANY_CD","COMPANY_NAME","COMPANY_TYPE","BRAND_NAME","PART_NO","PART_DESCRIPTION","GOOD_STOCK","DEFECTIVE_STOCK","ENGG_GOOD_STOCK","ENGG_DEFECTIVE_STOCK","TOTAL_GOOD_STOCK","TOTAL_DEFECTIVE_STOCK","CUSTOMER_CODE","DIVISION_NAME",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","24192250100'","NECK(STAND)PPCP CRYSTAL WHITE F ""DESK-25","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","24213170100'","OSC KNOB CRYSTAL WHITE NEW F ALL P/FAN","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","25184140000'","OSC UNIT.SYNC MOTOR ASLY-C.GREY8C-CLOUD3","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","24213331500'","OSC.KNOB OFF WHITE F S-33 FAN","0","0","4","0","4","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","24213350700'","OSC.KNOB R/BRNZ F STAND-35(PP)","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","30101000848'","OSCILATION KNOB FOR DESK-21 WHITE","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","24213260801'","OSCILLATION KNOB-PA66-DESK26-Z BLACK","0","0","9","0","9","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","26102098248'","OUTER BOX 48""AEON V.C. 568/240/205 REV-J","0","0","1","0","1","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","26102000027'","OUTER FOR MOTOR 48"" KIARA 615*416*220","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","26115000004'","P.P STRAP 9 X 0.5 MM (ORIENT) VIRGIN","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","24198161600'","P.P.BLADE HOLDER NUT SNOW WH","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","24170160011'","P/CORD G/BOX-Drg5431C W 6-WAY T.BLOCK V0","0","0","0","2","0","2","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","25407396448'","PAINTED AL B/C 48""FALCON DECO DG 14P 1ST","0","0","0","0","0","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","25407980448'","PAINTED AL B/C AEON KNGHTBLU","0","0","1","0","1","0","8201043","Fans",
"OE-Bangalore","64200","Shri Mallikarjun Traders","ASC","ORIENT","25405980448'","PAINTED AL T/C AEON KNGHTBLU","0","0","1","0","1","0","8201043","Fans",
