"BRAND","PART","DESCRIPTION","PRODUCT","MAPPED_MODEL","MODEL_DESCRIPTION","MAX_USED_QTY","SERVICE_LEVEL","PART_LOCATION","STATUS","LAST_UPDATED_DATE",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807012080","1200 MM QUASAR ORA.MAHOGANY BROWN","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807014810","1200 MM QUASAR.ORN SILVER BLUE","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807015210","1200 MM QUASAR.ORN GOLDEN CHOCOLATE","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807016310","1200 MM QUASAR.ORN M/IVR/CHERRY","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807016410","1200 MM QUA.ORN SEA/OYSTER/GREEN","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807024810","1200 MM QUASAR ORN.(IBF) SILVER BLUE","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807025210","1200 MM QUASAR ORN.(IBF) GOLD CHOCOLATE","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807026310","1200 MM QUASAR ORN.(IBF)MET.IVORY CHOCOL","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807026610","1200 MM QUA. ORN.(IBF) SEA/OYESTER GREEN","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807200000","1200 MM GRATIA PMW FOR SERVICE","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807210210","1200 MM GRATIA GREEN SILVER C/FAN","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807210310","1200 MM GRATIA�OFF WHITE MATALIC SILVER","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807210410","1200 MM GRATIA METALIC BRONZE - COPPER","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807210610","1200 MM GRATIA C/F BURGANDY SILVER","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807210710","1200 MM GRATIA TOPAZ GOLD-METALLIC COPPE","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807211810","EOL 1200 MM GRATIA PURPLE.","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807212080","1200 MM GRATIA MAHOGANY BROWN","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807214910","1200 MM GRATIA METALIC IVORY","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807214950","1200 MM GRATIA METALIC IVORY-MATT BRONZE","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807216710","1200 MM GRATIA SILKY SILVER","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807216810","1200 MM GRATIA TOPAZ GOLD","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807216910","1200 MM GRATIA P/M/WHITE","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807217720","1200 MM GRATIA COSMOS BLACK","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807218410","1200 MM GRATIA AZURE BLUE SILVER","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807316110","EOL 1200 MM QUADRO BRUSH COPPER","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807316210","1200 MM QUADRO BRUSH BRASS","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807414810","1200 MM QUADRO ORNA. SILVER/BLUE","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807415210","1200 MMQUADRO ORNA GLDN CHOCOLATE","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807416310","1200 MMQUADRO ORNA M/IVORY/CHERRY","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807416410","1200 MMQUADRO ORNA SEA/OYSTER/GRN","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807515510","1200 MM COUPLET M.BLK/CRYSTAL WHITE","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807516310","1200 MMCOUPLET M.IVORY/CHOCOLATE","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807517610","1200 MM COUPLET PEARL/BLUE WHITE","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Base","2134807611010","1200 MM SUMMER BREEZE WHITE","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Base","2134807612010","1200 MM SUMMER BREEZE BROWN","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Base","2134807612090","EOL 1200 MM SUMMER BREEZE NERO BROWN","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Base","2134807612510","1200 MM SUMMER BREEZE P/IVORY","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807718210","1200 MMO.WENDY MEATALLIC BLACL/GOLD","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807718310","1200 MM ORIENT WENDY TOPAZ GOLD/BROWN","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807718410","1200 MMO.WENDY AZURE BLUE/SILVER","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134807718910","1200 MMO.WENDY PEARL WHT/WALNUT","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134808018510","1200 MM ORINA PEARL WHITE/BLACK","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134808018610","1200 MMORINA M.IVORY/OLIVE BROWN","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134808018710","1200 MMORINA CHOCOLATE BRN/IVORY","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Deco","2134808018810","1200 MM ORINA COPPER BROWN","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Premium","2134808115410","1200 MM O.SPECTRA ANTIQUE CPR WITH REMOT","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Premium","2134808115710","1200 MMO.SPECTRA PEWTER FINISH WITH REMO","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Premium","2134808116210","1200 MM O.SPECTRA BRUSHED BRS WITH REMOT","1","  ","  ","Active","10/07/2022 23:43:08",
"ORIENT","24136000005","SPR D/ROD KIT ASSLY  KIDS FAN","Cfan_Base","2134808211010","1200 MM SUMMER BREEZE PRO WHITE","1","  ","  ","Active","10/07/2022 23:43:08",
